epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3048.87,0.98073,1.68629,1.48781,0.68589,0.23542,0.1804,0.13864,1.18481,1.804,1.73603,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3143.18,0.96179,1.65398,1.47695,0.76872,0.22871,0.17811,0.13531,1.24017,1.85312,1.75439,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3238.07,0.96739,1.64245,1.48133,0.74008,0.23548,0.18981,0.14658,1.16133,1.76385,1.73457,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3335.68,0.95928,1.62184,1.47059,0.73339,0.22258,0.18464,0.14371,1.14622,1.74125,1.69151,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3430.67,0.96432,1.61333,1.47865,0.73387,0.23687,0.18613,0.14116,1.20107,1.75788,1.74405,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3525.33,0.93608,1.56709,1.45789,0.6501,0.23737,0.18882,0.14132,1.2349,1.72943,1.75726,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3620.23,0.94899,1.57002,1.46058,0.70644,0.23988,0.20283,0.15879,1.14035,1.64464,1.70704,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3716.85,0.92393,1.51831,1.44501,0.72805,0.24594,0.18986,0.14206,1.17422,1.689,1.73678,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3810.82,0.92014,1.50435,1.43789,0.75901,0.23539,0.19623,0.1509,1.16705,1.64948,1.7375,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3904.99,0.89829,1.46265,1.42959,0.73367,0.23087,0.18631,0.14235,1.14053,1.71651,1.72627,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3999.15,0.89564,1.44905,1.42641,0.64927,0.24857,0.19661,0.1515,1.13483,1.62787,1.73461,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4093.17,0.89175,1.43402,1.42171,0.62155,0.24642,0.20164,0.15505,1.17894,1.6068,1.73438,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4187.03,0.88697,1.39989,1.41925,0.70261,0.23969,0.19609,0.14947,1.10291,1.61786,1.69683,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4281.03,0.87599,1.38957,1.40897,0.66171,0.24329,0.20784,0.15566,1.19338,1.62937,1.74084,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4375.22,0.85772,1.34718,1.40092,0.67284,0.24642,0.19988,0.15329,1.10024,1.53427,1.7001,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4469.26,0.87903,1.35702,1.41641,0.65798,0.26918,0.20568,0.15732,1.15682,1.60588,1.71167,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4563.26,0.86347,1.34518,1.39897,0.64032,0.24096,0.20456,0.15593,1.12523,1.5779,1.73412,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4657.43,0.85351,1.31607,1.38931,0.55088,0.25469,0.20947,0.16399,1.08548,1.50589,1.67939,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4753.74,0.8534,1.28853,1.38939,0.51703,0.25416,0.2031,0.15973,1.11484,1.51534,1.7302,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4847.84,0.83958,1.27128,1.38851,0.45317,0.25402,0.21488,0.16669,1.11064,1.47339,1.71736,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4943.55,0.83005,1.2567,1.38182,0.5645,0.23909,0.21423,0.16584,1.14799,1.51116,1.72675,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5037.74,0.8338,1.24321,1.38266,0.47832,0.25493,0.21504,0.16897,1.10457,1.49203,1.7137,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5133.74,0.81526,1.21134,1.36491,0.35533,0.25986,0.21236,0.16735,1.11635,1.44971,1.7337,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5227.75,0.81553,1.20389,1.36359,0.50416,0.25421,0.20993,0.16422,1.10126,1.46489,1.71291,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5321.67,0.80525,1.17084,1.35563,0.48511,0.25878,0.22321,0.16747,1.11469,1.55792,1.73933,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5415.78,0.79926,1.16102,1.35171,0.59,0.25295,0.2279,0.17306,1.11526,1.46694,1.73554,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5511.78,0.78974,1.12283,1.33892,0.41285,0.26105,0.22481,0.1725,1.15291,1.47966,1.73109,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5606.19,0.78395,1.11161,1.33471,0.40134,0.25734,0.24584,0.17541,1.12789,1.46599,1.73806,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5702.86,0.77736,1.10698,1.33343,0.48653,0.25118,0.2223,0.17081,1.10162,1.4468,1.72785,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5797.15,0.78205,1.08295,1.32805,0.49443,0.25491,0.25211,0.18282,1.10653,1.4475,1.71419,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5893.57,0.76168,1.06829,1.3207,0.39747,0.26547,0.22684,0.17624,1.0957,1.47412,1.72345,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5988.06,0.76263,1.06231,1.31746,0.43034,0.27175,0.22445,0.17275,1.1008,1.49923,1.73032,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6082.37,0.76155,1.05072,1.32055,0.46004,0.27523,0.23224,0.17532,1.12829,1.47888,1.74679,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6176.64,0.74658,1.01602,1.30345,0.46173,0.28672,0.25643,0.19029,1.09292,1.45581,1.73596,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6273.51,0.73931,1.00324,1.30206,0.5447,0.27254,0.26007,0.18883,1.11218,1.45353,1.74587,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6367.73,0.72954,0.99564,1.28725,0.42557,0.29062,0.23672,0.1823,1.09785,1.5095,1.74244,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6461.74,0.73107,0.97303,1.2878,0.44673,0.27402,0.2583,0.19117,1.10821,1.50668,1.75579,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6557.97,0.73955,0.97856,1.29583,0.53722,0.24952,0.23086,0.17943,1.11734,1.55609,1.7395,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,6652.13,0.71472,0.95182,1.27897,0.5304,0.25525,0.23634,0.18529,1.07575,1.47956,1.74165,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6746.49,0.72504,0.95988,1.28612,0.55676,0.25172,0.24086,0.18832,1.08588,1.48319,1.74313,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6840.94,0.70144,0.90556,1.25934,0.41126,0.28504,0.23623,0.18764,1.08704,1.53048,1.76634,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
