epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2374.29,1.03173,1.82128,1.47955,0.58346,0.20179,0.18228,0.13357,1.33282,2.12419,1.7599,3.18138e-05,3.18138e-05,3.18138e-05
40,2434.33,1.03831,1.82765,1.47469,0.62061,0.20285,0.1798,0.13133,1.35171,2.13187,1.76195,3.13089e-05,3.13089e-05,3.13089e-05
41,2494.41,1.03288,1.80014,1.47691,0.57357,0.2068,0.18076,0.13238,1.33459,2.10527,1.75744,3.0804e-05,3.0804e-05,3.0804e-05
42,2554.52,1.01118,1.78842,1.45995,0.48433,0.21169,0.18137,0.13368,1.32881,2.11617,1.75615,3.02991e-05,3.02991e-05,3.02991e-05
43,2614.69,1.01053,1.79512,1.46387,0.57818,0.19822,0.18894,0.13875,1.34986,2.08161,1.76573,2.97942e-05,2.97942e-05,2.97942e-05
44,2675.03,1.01126,1.76269,1.46813,0.65921,0.20034,0.18178,0.13414,1.33704,2.06657,1.76211,2.92893e-05,2.92893e-05,2.92893e-05
45,2735.16,1.01099,1.76522,1.45967,0.56963,0.20036,0.18373,0.13583,1.33109,2.06186,1.75527,2.87844e-05,2.87844e-05,2.87844e-05
46,2795.43,0.99184,1.72861,1.4491,0.51824,0.21397,0.18502,0.13593,1.36315,2.07208,1.7648,2.82795e-05,2.82795e-05,2.82795e-05
47,2855.49,1.01141,1.74176,1.46192,0.52032,0.21868,0.19367,0.14119,1.32553,2.02995,1.74398,2.77746e-05,2.77746e-05,2.77746e-05
48,2915.73,1.00633,1.71784,1.45196,0.57016,0.21027,0.18977,0.13921,1.336,2.04533,1.75466,2.72697e-05,2.72697e-05,2.72697e-05
49,2975.82,0.99387,1.70552,1.44625,0.59102,0.20429,0.18694,0.13975,1.32468,2.03571,1.7476,2.67648e-05,2.67648e-05,2.67648e-05
50,3036.02,0.99474,1.70732,1.44119,0.57904,0.20261,0.18622,0.13723,1.32724,2.04211,1.74005,2.62599e-05,2.62599e-05,2.62599e-05
51,3095.94,0.98011,1.67436,1.44666,0.50491,0.20886,0.1909,0.14035,1.33622,2.03034,1.75171,2.5755e-05,2.5755e-05,2.5755e-05
52,3156.03,0.97659,1.69059,1.43334,0.6242,0.20861,0.19454,0.14342,1.3369,2.00231,1.74001,2.52501e-05,2.52501e-05,2.52501e-05
